Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Latitude;Longitude;Nom communes équipées
9020;Toudouze - Clauzel;SANN;21;19;1;0;1;SANN;SANN;2022-10-05;48,87929592;2,337360084;Paris
16107;Benjamin Godard - Victor Hugo;SANN;35;8;26;15;11;SANN;SANN;2022-10-05;48,865983;2,275725;Paris
10013;Alibert - Jemmapes;SANN;60;49;7;2;5;SANN;SANN;2022-10-05;48,87104405;2,366104462;Paris
31104;Mairie de Rosny-sous-Bois;SANN;30;18;11;2;9;SANN;SANN;2022-10-05;48,87125652;2,486580759;Rosny-sous-Bois
8026;Messine - Place Du Pérou;SANN;12;2;10;5;5;SANN;SANN;2022-10-05;48,87544803;2,315508019;Paris
11104;Charonne - Robert et Sonia Delauney;SANN;20;16;2;0;2;SANN;SANN;2022-10-05;48,85590756;2,392570674;Paris
5001;Harpe - Saint-Germain;SANN;45;41;4;3;1;SANN;SANN;2022-10-05;48,85151882;2,343670316;Paris
12109;Mairie du 12ème;SANN;30;24;5;2;3;SANN;SANN;2022-10-05;48,84085531;2,387554944;Paris
13007;Le Brun - Gobelins;SANN;48;38;5;4;1;SANN;SANN;2022-10-05;48,83509279;2,353468135;Paris
14111;Cassini - Denfert-Rochereau;SANN;25;9;15;10;5;SANN;SANN;2022-10-05;48,83752584;2,336035408;Paris
41301;Bois de Vincennes - Gare;SANN;50;16;31;25;6;SANN;SANN;2022-10-05;48,83602224;2,470833995;Nogent-sur-Marne
14014;Jourdan - Stade Charléty;SANN;60;58;2;2;0;SANN;SANN;2022-10-05;48,81942833;2,343335375;Paris
6021;Beaux-Arts - Bonaparte;SANN;20;0;20;12;8;SANN;SANN;2022-10-05;48,85645199;2,334851883;Paris
6003;Saint-Sulpice;SANN;21;14;7;5;2;SANN;SANN;2022-10-05;48,85165383;2,330807783;Paris
17026;Jouffroy d'Abbans - Wagram;SANN;40;36;2;0;2;SANN;SANN;2022-10-05;48,8819733;2,301132157;Paris
5110;Lacépède - Monge;SANN;23;18;2;0;2;SANN;SANN;2022-10-05;48,84389287;2,351966389;Paris
17038;Grande Armée - Brunel;SANN;62;39;10;4;6;SANN;SANN;2022-10-05;48,876116;2,288124;Paris
6108;Saint-Romain - Cherche-Midi;SANN;17;10;5;4;1;SANN;SANN;2022-10-05;48,84708159;2,321374789;Paris
7002;Vaneau - Sèvres;SANN;35;23;11;3;8;SANN;SANN;2022-10-05;48,84856323;2,320421826;Paris
33006;André Karman - République;SANN;31;19;8;2;6;SANN;SANN;2022-10-05;48,91039876;2,385135591;Aubervilliers
5016;Thouin - Cardinal Lemoine;SANN;17;11;6;4;2;SANN;SANN;2022-10-05;48,84504717;2,349464785;Paris
42016;Pierre et Marie Curie - Maurice Thorez;SANN;27;23;4;2;2;SANN;SANN;2022-10-05;48,81580226;2,376804985;Ivry-sur-Seine
11025;Froment - Bréguet;SANN;43;33;7;4;3;SANN;SANN;2022-10-05;48,85704145;2,372894703;Paris
